1439.7,0.0062171,1161.5,0.0017789
5015,0.00056918,3995.9,0.002971
2846.6,0.00050759,99.509,0.011992
3747.9,0.00042787,1851.3,0.010834
111.76,0.0023108,3743.2,0.0016394
1255.3,0.0019728,264.62,0.0048773
2268.1,0.00029606,4543.8,0.0098396
17.679,0.0011479,1680.4,0.00011792
1499.6,0.0012122,3195.1,0.00036361
3412.9,0.0055195,4907.2,0.01341
2954.6,2.2293e-05,1956.3,0.001324
2173.8,0.00083577,6396.3,0.00013782
2550.9,0.0056898,1714,0.0030653
6485.9,0.00042292,175.91,0.026743
1726.2,0.0023683,8326.7,0.01084
3961.8,0.001553,6697.7,0.02658
2238.2,0.013972,3844.4,0.00013551
2350.8,0.0027225,3967.8,0.0014504
6304.4,0.001236,777.25,0.0016383
4297.9,0.0009731,1096.1,0.0064648
861.55,1.6347e-05,4492.8,0.00046192
666.69,0.0068649,237.82,0.0053523
845.26,0.010589,4542.5,0.00015667
3621.7,0.0011007,637.88,0.0034525
2734.8,0.012122,3891.9,0.025422
853.98,0.0015646,172.37,0.001771
4118.8,0.0084136,5476,2.5348e-06
4062,0.0002016,5786.3,0.015584
4075.4,0.001134,371.43,0.003661
6294.7,0.003487,9598.9,0.025209
2152.8,0.0004844,1706.9,0.0041426
733.05,0.014691,1442.6,0.0056062
2190.6,0.00022964,2513.4,0.00046917
1013.1,0.00065169,2017.3,0.0015687
7888.3,0.004185,2443.4,0.004524
4713.5,3.2063e-05,1744.5,0.03018
3808.4,1.8993e-05,2730.7,0.013204
3291,0.0020824,4183.6,0.025036
7180.4,0.002574,6577.6,0.0061828
5231.2,0.006539,7310.4,0.0020428
4698.2,0.0010026,432.59,0.0055391
4766.6,0.0038314,4742.4,0.0025405
965.96,0.00028808,2089.5,2.3354e-07
8675.6,0.007174,3128.2,0.0073868
2344.9,0.00019692,3371.1,4.4471e-05
1160.7,0.0059308,5294.6,0.00068797
749.86,8.5735e-05,3784,0.0012733
6034.8,0.0026919,5667.9,0.0044036
2412.8,0.0015149,1298,0.00010786
25.664,3.8897e-05,1549.4,0.0029519
3247.9,0.001008,2206.1,0.003827
3098.4,1.8252e-06,1401.2,0.0042549
6426.3,0.0080833,4538.2,0.031413
1344.4,0.0011414,2540.8,0.00015958
866.98,0.0028413,5139.8,0.0019734
1418.3,0.0013037,5739.6,0.007576
3260.5,0.010231,1304.9,0.00069666
698.15,9.4523e-05,2464,0.014558
5558,5.289e-05,7499.9,0.057171
681.39,0.00097415,3287.4,0.00010806
